llm_id,w,p_H,P_t,p_n,L,L_b,beh_ao_lmr_num
88,1659.5449,2731.2891,1,1,126359,116693,88
89,1896.4253,2146.6523,1,1,355876,345589,89
90,2062.9063,5051.0762,1,1,598684,484363,90
91,1685.5929,3581.4646,1,1,303482,266558,91
92,1942.1882,3051.4341,1,1,248922,241647,92
93,1982.0355,2223.0247,1,1,251329,267514,93
94,1924.4877,1403.746,1,1,446592,547641,94
95,1971.129,1568.3638,1,1,67916,73840,95
96,1943.0048,4768.854,1,1,456057,386943,96
97,2109.4785,4625.7573,1,1,1212033,1049239,97
98,1638.9119,2246.3452,1,1,222473,192868,98
99,1611.8644,1813.5649,1,1,93342,84128,99
100,2081.7783,3642.3979,1,1,371127,320688,100
101,1851.4475,2540.1226,1,1,349611,333081,101
102,1884.4155,4139.5112,1,1,632910,587616,102
103,2147.5239,5233.8418,1,1,662890,535544,103
104,1867.9213,3175.4146,1,1,183260,152294,104
105,1768.2267,2674.3245,1,1,131345,115332,105
106,2041.6727,3779.8853,1,1,400059,341542,106
107,1867.8837,1806.7891,1,1,851013,895448,107
108,1965.7976,1680.9021,1,1,315443,327511,108
109,1839.0436,7129.77,1,1,4029715,3530106,109
110,1788.1943,1849.6946,1,1,240489,280797,110
111,1502.1644,1093.8461,1,1,217123,319730,111
112,1485.7289,1567.8948,1,1,158236,143836,112
113,1573.1215,2617.2114,1,1,190714,178642,113
114,1960.8173,3015.6235,1,1,207524,174524,114
115,1541.7808,1677.8136,1,1,99110,120282,115
116,1951.078,2068.1851,1,1,282484,261679,116
117,1753.0461,1156.5519,1,1,77573,110618,117
118,1917.4235,1515.5409,1,1,217322,294527,118
119,1863.2502,2795.188,1,1,163553,154192,119
120,1513.9869,1406.7701,1,1,121014,166384,120
121,1764.25,2590.6091,1,1,467183,541889,121
122,1459.4985,1236.967,1,1,262517,343334.3634006997,122
123,1655.8848,4143.2646,1,1,419484,464858,123
124,1531.2123,2408.917,1,1,224820,286716,124
125,1364.3137,2592.0413,1,1,238358,316232.6365993003,125
126,1631.0765,1523.5903,1,1,1233294,1667511,126
127,1740.7859,3488.7876,1,1,1036481,1146064,127
128,1363.089,1078.5308,1,1,566273,802168,128
129,1610.0588,3525.1262,1,1,1016485,1145463,129
130,1638.5323,1410.2272,1,1,376183,545512.53408924,130
131,1688.5958,2168.208,1,1,697584,893322.9474764973,131
132,1584.869,2191.6648,1,1,748911,1019469,132
133,1655.5383,1032.63,1,1,115262,158639,133
134,1790.868,2825.8738,1,1,673427,774449,134
135,1663.7347,1279.7153,1,1,289469,427628,135
136,1775.8153,3247.1445,1,1,195711,209949,136
137,1343.0009,1558.4625,1,1,162465,217435,137
138,1693.1062,1527.4991,1,1,168072,209165,138
139,1509.3569,1335.0767,1,1,105273,131848,139
140,1748.7637,1677.3213,1,1,225925,292821,140
141,1666.6409,1330.1584,1,1,192229,263403,141
